State,CEFR_score
North Rhine-Westphalia,619
Rhineland-Palatinate,617
Bremen,616
Bavaria,613
Baden-Wuerttemberg,612
Saxony,606
Saarland,606
Lower Saxony,599
Hessia,597
Saxony-Anhalt,596
Brandenburg,594
Thuringia,592
Schleswig-Holstein,592
Mecklenburg-Vorpommern,571
Hamburg,610
Berlin,615
Salzburg,609
Oberoesterreich,600
Niederoesterreich,597
Burgenland,597
Steiermark,596
Tirol,587
Kaernten,569
Vorarlberg,556
Vienna,628
Basel-Stadt,611
Zug,597
Zurich,583
Aargau,571
Basel-Landschaft,570
Solothurn,560
Schwyz,559
Lucerne,557
Thurgau,556
Sankt Gallen,554
Bern,547
Geneva,537
Valais,536
Vaud,531
Graubuenden,530
Neuchatel,525
Ticino,517
Fribourg,514
