"Vērtības,""Laika periods"",""Pavisam, tūkst. eiro"",""Uz vienu iedzīvotāju, eiro"""
"Faktiskajās cenās,""1995"",3932476,1583"
"Faktiskajās cenās,""1996"",4544461,1850"
"Faktiskajās cenās,""1997"",5248481,2157"
"Faktiskajās cenās,""1998"",5853373,2429"
"Faktiskajās cenās,""1999"",6098123,2551"
"Faktiskajās cenās,""2000"",6697961,2829"
"Faktiskajās cenās,""2001"",7317740,3130"
"Faktiskajās cenās,""2002"",8135447,3521"
"Faktiskajās cenās,""2003"",9142771,3996"
"Faktiskajās cenās,""2004"",10628869,4697"
"Faktiskajās cenās,""2005"",13102623,5853"
"Faktiskajās cenās,""2006"",16294807,7344"
"Faktiskajās cenās,""2007"",21509327,9772"
"Faktiskajās cenās,""2008"",23351891,10723"
"Faktiskajās cenās,""2009"",18482487,8629"
"Faktiskajās cenās,""2010"",17719640,8449"
"Faktiskajās cenās,""2011"",19117260,9286"
"Faktiskajās cenās,""2012"",21104326,10378"
"Faktiskajās cenās,""2013"",21956193,10908"
"Faktiskajās cenās,""2014"",22790505,11428"
"Faktiskajās cenās,""2015"",23744263,12008"
"Faktiskajās cenās,""2016"",24498174,12503"
"Faktiskajās cenās,""2017"",26017128,13403"
"Faktiskajās cenās,""2018"",28153443,14616"
"Faktiskajās cenās,""2019"",29567001,15454"
"Faktiskajās cenās,""2020"",29224340,15374"
"Faktiskajās cenās,""2021"",32285300,17130"
"Faktiskajās cenās,""2022"",36103656,19141"
"Faktiskajās cenās,""2023"",39072483,20766"
